Borough,Year,Number of occurences 
,,
Barking and Dagenham,2014,81.9
,,
Barking and Dagenham,2015,86.5
,,
Barking and Dagenham,2016,70.9
,,
Barnet,2014,61.9
,,
Barnet,2015,65.8
,,
Barnet,2016,55.8
,,
Bexley,2014,51.2
,,
Bexley,2015,52.2
,,
Bexley,2016,45.6
,,
Brent,2014,78.3
,,
Brent,2015,80.6
,,
Brent,2016,70.8
,,
Bromley,2014,63.6
,,
Bromley,2015,65.1
,,
Bromley,2016,52.7
,,
Camden,2014,121
,,
Camden,2015,125.2
,,
Camden,2016,103.1
,,
Croydon,2014,76.6
,,
Croydon,2015,76.4
,,
Croydon,2016,67.4
,,
Ealing,2014,75.8
,,
Ealing,2015,78.8
,,
Ealing,2016,69
,,
Enfield,2014,68.7
,,
Enfield,2015,69.9
,,
Enfield,2016,58.5
,,
Greenwich,2014,78.2
,,
Greenwich,2015,79.9
,,
Greenwich,2016,71.6
,,
Hackney,2014,97.7
,,
Hackney,2015,101.1
,,
Hackney,2016,91.2
,,
Hammersmith and Fulham,2014,97.7
,,
Hammersmith and Fulham,2015,101.1
,,
Hammersmith and Fulham,2016,91.2
,,
Haringey,2014,113.6
,,
Haringey,2015,114.3
,,
Haringey,2016,98.1
,,
Harrow,2014,50.1
,,
Harrow,2015,53.3
,,
Harrow,2016,45.5
,,
Havering,2014,62.4
,,
Havering,2015,67.7
,,
Havering,2016,58.1
,,
Hillingdon,2014,75.2
,,
Hillingdon,2015,73.8
,,
Hillingdon,2016,63.5
,,
Hounslow,2014,78.4
,,
Hounslow,2015,81.6
,,
Hounslow,2016,71.3
,,
Islington,2014,118.6
,,
Islington,2015,123.6
,,
Islington,2016,99.9
,,
Kensington and Chelsea,2014,120.6
,,
Kensington and Chelsea,2015,124.7
,,
Kensington and Chelsea,2016,109.8
,,
Kingston upon Thames,2014,57.5
,,
Kingston upon Thames,2015,58.5
,,
Kingston upon Thames,2016,49.6
,,
Lambeth,2014,103.8
,,
Lambeth,2015,107.9
,,
Lambeth,2016,90.8
,,
Lewisham,2014,75.7
,,
Lewisham,2015,83.1
,,
Lewisham,2016,68.4
,,
Merton,2014,59.8
,,
Merton,2015,63.2
,,
Merton,2016,53.5
,,
Newham,2014,89.4
,,
Newham,2015,90.4
,,
Newham,2016,77.1
,,
Redbridge,2014,89.4
,,
Redbridge,2015,90.4
,,
Redbridge,2016,77.1
,,
Richmond upon Thames,2014,55.7
,,
Richmond upon Thames,2015,55.1
,,
Richmond upon Thames,2016,49.9
,,
Southwark,2014,99.6
,,
Southwark,2015,101.7
,,
Southwark,2016,87.9
,,
Sutton,2014,55.4
,,
Sutton,2015,54.7
,,
Sutton,2016,45
,,
Tower Hamlets,2014,96.3
,,
Tower Hamlets,2015,97.4
,,
Tower Hamlets,2016,85.3
,,
Waltham Forest,2014,77.5
,,
Waltham Forest,2015,80.4
,,
Waltham Forest,2016,64.9
,,
Wandsworth,2014,72.3
,,
Wandsworth,2015,74.1
,,
Wandsworth,2016,65.8
,,
Westminster,2014,206.9
,,
Westminster,2015,203.1
,,
Westminster,2016,171.3
