GSSCode,hospital,date,attendees
E09000002,"BARKING, HAVERING & REDBRIDGE",Jan-18,21317
E09000002,"BARKING, HAVERING & REDBRIDGE",Feb-18,18668
E09000002,"BARKING, HAVERING & REDBRIDGE",Mar-18,21452
E09000002,"BARKING, HAVERING & REDBRIDGE",Apr-18,20369
E09000002,"BARKING, HAVERING & REDBRIDGE",May-18,21582
E09000002,"BARKING, HAVERING & REDBRIDGE",Jun-18,21187
E09000002,"BARKING, HAVERING & REDBRIDGE",Jul-18,19303
E09000002,"BARKING, HAVERING & REDBRIDGE",Aug-18,15473
E09000002,"BARKING, HAVERING & REDBRIDGE",Sep-18,16309
E09000002,"BARKING, HAVERING & REDBRIDGE",Oct-18,16552
E09000002,"BARKING, HAVERING & REDBRIDGE",Nov-18,16897
E09000002,"BARKING, HAVERING & REDBRIDGE",Dec-18,16040
E09000030,BARTS ,Jan-18,27281
E09000030,BARTS ,Feb-18,25341
E09000030,BARTS ,Mar-18,28465
E09000030,BARTS ,Apr-18,26727
E09000030,BARTS ,May-18,28102
E09000030,BARTS ,Jun-18,26939
E09000030,BARTS ,Jul-18,28357
E09000030,BARTS ,Aug-18,25099
E09000030,BARTS ,Sep-18,25934
E09000030,BARTS ,Oct-18,27167
E09000030,BARTS ,Nov-18,27483
E09000030,BARTS ,Dec-18,27102
E09000020,CHELSEA & WESTMINSTER,Jan-18,17990
E09000020,CHELSEA & WESTMINSTER,Feb-18,16205
E09000020,CHELSEA & WESTMINSTER,Mar-18,18906
E09000020,CHELSEA & WESTMINSTER,Apr-18,17309
E09000020,CHELSEA & WESTMINSTER,May-18,18745
E09000020,CHELSEA & WESTMINSTER,Jun-18,17999
E09000020,CHELSEA & WESTMINSTER,Jul-18,18560
E09000020,CHELSEA & WESTMINSTER,Aug-18,16715
E09000020,CHELSEA & WESTMINSTER,Sep-18,17777
E09000020,CHELSEA & WESTMINSTER,Oct-18,19002
E09000020,CHELSEA & WESTMINSTER,Nov-18,18987
E09000020,CHELSEA & WESTMINSTER,Dec-18,18569
E09000008,CROYDON,Jan-18,6987
E09000008,CROYDON,Feb-18,6309
E09000008,CROYDON,Mar-18,6672
E09000008,CROYDON,Apr-18,6607
E09000008,CROYDON,May-18,6742
E09000008,CROYDON,Jun-18,6234
E09000008,CROYDON,Jul-18,6420
E09000008,CROYDON,Aug-18,6093
E09000008,CROYDON,Sep-18,6434
E09000008,CROYDON,Oct-18,6649
E09000008,CROYDON,Nov-18,6707
E09000008,CROYDON,Dec-18,7150
E09000029,EPSOM & ST HELIER ,Jan-18,12541
E09000029,EPSOM & ST HELIER ,Feb-18,11224
E09000029,EPSOM & ST HELIER ,Mar-18,12960
E09000029,EPSOM & ST HELIER ,Apr-18,12017
E09000029,EPSOM & ST HELIER ,May-18,13029
E09000029,EPSOM & ST HELIER ,Jun-18,12523
E09000029,EPSOM & ST HELIER ,Jul-18,12956
E09000029,EPSOM & ST HELIER ,Aug-18,11737
E09000029,EPSOM & ST HELIER ,Sep-18,12403
E09000029,EPSOM & ST HELIER ,Oct-18,12604
E09000029,EPSOM & ST HELIER ,Nov-18,12659
E09000029,EPSOM & ST HELIER ,Dec-18,12555
E09000028,GUY'S & ST THOMAS' ,Jan-18,12739
E09000028,GUY'S & ST THOMAS' ,Feb-18,11904
E09000028,GUY'S & ST THOMAS' ,Mar-18,13467
E09000028,GUY'S & ST THOMAS' ,Apr-18,12877
E09000028,GUY'S & ST THOMAS' ,May-18,13813
E09000028,GUY'S & ST THOMAS' ,Jun-18,13570
E09000028,GUY'S & ST THOMAS' ,Jul-18,13847
E09000028,GUY'S & ST THOMAS' ,Aug-18,12819
E09000028,GUY'S & ST THOMAS' ,Sep-18,13090
E09000028,GUY'S & ST THOMAS' ,Oct-18,14011
E09000028,GUY'S & ST THOMAS' ,Nov-18,13910
E09000028,GUY'S & ST THOMAS' ,Dec-18,13550
E09000012,HOMERTON ,Jan-18,10679
E09000012,HOMERTON ,Feb-18,9545
E09000012,HOMERTON ,Mar-18,10768
E09000012,HOMERTON ,Apr-18,10520
E09000012,HOMERTON ,May-18,10988
E09000012,HOMERTON ,Jun-18,10547
E09000012,HOMERTON ,Jul-18,10780
E09000012,HOMERTON ,Aug-18,9696
E09000012,HOMERTON ,Sep-18,10120
E09000012,HOMERTON ,Oct-18,10421
